pickup_datetime,passenger_count,pickup_longitude,pickup_latitude
2013-01-01 18:35:00,1,-73.999634,40.717915
2013-01-01 18:35:00,1,-74.011536,40.708321
2013-01-01 18:35:00,1,-73.999809,40.717918
2013-01-01 18:35:00,2,-74.014206,40.715553
2013-01-01 18:35:00,1,-74.011917,40.709538
2013-01-01 18:35:00,1,-74.007942,40.712013
2013-01-01 18:35:23,2,-74.009003,40.713783
2013-01-01 18:35:35,2,-74.004265,40.707806
2013-01-01 18:35:38,1,-74.005424,40.708939
2013-01-01 18:36:00,1,-74.013329,40.715752
2013-01-01 18:36:00,5,-74.012871,40.718204
2013-01-01 18:36:00,1,-74.003578,40.713676
2013-01-01 18:36:00,2,-74.009651,40.711121
2013-01-01 18:36:00,6,-74.002274,40.709068
2013-01-01 18:36:00,1,-74.011902,40.708889
2013-01-01 18:36:00,1,-74.005608,40.712296
2013-01-01 18:36:00,3,-74.004898,40.716099
2013-01-01 18:36:02,1,-74.009697,40.71032
2013-01-01 18:36:02,2,-74.007759,40.715595
2013-01-01 18:36:21,2,-74.007706,40.714878
2013-01-01 18:36:35,1,-74.012764,40.715282
2013-01-01 18:36:37,2,-73.997948,40.716873
2013-01-01 18:36:43,1,-74.002968,40.710644
2013-01-01 18:37:00,1,-74.01046,40.709911
2013-01-01 18:37:00,1,-74.003159,40.718842
2013-01-01 18:37:00,2,-74.012321,40.709244
2013-01-01 18:37:00,1,-74.005005,40.715897
2013-01-01 18:37:00,6,-74.009216,40.7108
2013-01-01 18:37:00,1,-74.008759,40.713966
2013-01-01 18:37:07,1,-74.004593,40.707645
2013-01-01 18:37:16,1,-73.997864,40.717033
2013-01-01 18:37:23,2,-74.008469,40.714699
2013-01-01 18:37:37,1,-74.012093,40.714966
2013-01-01 18:38:00,2,-74.008926,40.713383
2013-01-01 18:38:00,1,-74.010201,40.709965
2013-01-01 18:38:00,3,-74.008301,40.716679
2013-01-01 18:38:00,6,-74.008202,40.716728
2013-01-01 18:38:00,1,-74.009293,40.711201
2013-01-01 18:38:00,2,-74.013657,40.716576
2013-01-01 18:38:44,3,-74.010544,40.711689
2013-01-01 18:39:00,6,-74.008781,40.718262
2013-01-01 18:39:00,1,-74.004753,40.707161
2013-01-01 18:39:00,5,-74.009514,40.710308
2013-01-01 18:39:39,1,-74.007645,40.715805
2013-01-01 18:40:00,1,-74.010384,40.711353
2013-01-01 18:40:00,2,-74.00853,40.71452
2013-01-01 18:40:00,1,-74.005829,40.714577
2013-01-01 18:40:00,1,-74.00386,40.71706
2013-01-01 18:40:03,1,-74.010757,40.709347
2013-01-01 18:40:12,2,-73.99852,40.715687
2013-01-01 18:41:00,1,-73.997749,40.713905
2013-01-01 18:41:00,5,-74.008316,40.71434
2013-01-01 18:41:00,2,-74.010796,40.70903
2013-01-01 18:41:16,2,-74.014168,40.709408
2013-01-01 18:42:00,1,-74.013016,40.71767
2013-01-01 18:42:00,1,-74.006721,40.716351
2013-01-01 18:42:00,1,-73.998489,40.717281
2013-01-01 18:42:12,3,-74.008736,40.708149
2013-01-01 18:42:21,1,-74.007187,40.716122
2013-01-01 18:42:38,1,-74.000793,40.709541
2013-01-01 18:42:46,2,-74.013374,40.709465
2013-01-01 18:42:48,1,-74.002678,40.718655
2013-01-01 18:43:00,5,-74.010681,40.717323
2013-01-01 18:43:00,1,-74.013924,40.709133
2013-01-01 18:43:03,1,-74.004852,40.707714
2013-01-01 18:43:55,4,-74.000839,40.718487
2013-01-01 18:44:00,6,-74.011589,40.710258
2013-01-01 18:44:00,1,-74.008949,40.711216
2013-01-01 18:44:00,1,-74.014244,40.717281
2013-01-01 18:44:00,1,-74.010994,40.716133
2013-01-01 18:44:02,1,-74.008987,40.716053
2013-01-01 18:44:05,3,-74.010719,40.711201
2013-01-01 18:44:17,1,-73.998566,40.711948
2013-01-01 18:44:34,1,-74.006378,40.711628
2013-01-01 18:44:44,2,-74.009613,40.706455
2013-01-01 18:44:52,2,-74.012138,40.716026
2013-01-01 18:45:00,1,-73.998253,40.716335
2013-01-01 18:45:00,3,-74.011429,40.715687
2013-01-01 18:45:00,1,-74.005531,40.718048
